21238:   tor -f /etc/tor/torrc
0000563f8e81e000    384K r---- tor
0000563f8e87e000   1892K r-x-- tor
0000563f8ea57000    888K r---- tor
0000563f8eb35000     56K r---- tor
0000563f8eb43000     48K rw--- tor
0000739b266d1000      4K rw---   [ anon ]
0000739b266d2000      4K -----   [ anon ]
0000739b266d3000      4K rw---   [ anon ]
0000739b266d4000      4K -----   [ anon ]
0000739b266d5000      4K rw---   [ anon ]
0000739b266d6000      4K -----   [ anon ]
0000739b266d7000      4K rw---   [ anon ]
0000739b266d8000      4K -----   [ anon ]
0000739b266d9000      4K rw---   [ anon ]
0000739b266da000      4K -----   [ anon ]
0000739b266db000      4K rw---   [ anon ]
0000739b266dc000      4K -----   [ anon ]
0000739b266dd000      4K rw---   [ anon ]
0000739b266de000      4K -----   [ anon ]
0000739b266df000      4K rw---   [ anon ]
0000739b266e0000      4K -----   [ anon ]
0000739b266e1000      4K rw---   [ anon ]
0000739b266e2000      4K -----   [ anon ]
0000739b266e3000      4K rw---   [ anon ]
0000739b266e4000      4K -----   [ anon ]
0000739b266e5000      4K rw---   [ anon ]
0000739b266e6000      4K -----   [ anon ]
0000739b266e7000      4K rw---   [ anon ]
0000739b266e8000      4K -----   [ anon ]
0000739b266e9000      4K rw---   [ anon ]
0000739b266ea000      4K -----   [ anon ]
0000739b266eb000      4K rw---   [ anon ]
0000739b266ec000      4K -----   [ anon ]
0000739b266ed000      4K rw---   [ anon ]
0000739b266ee000      4K -----   [ anon ]
0000739b266ef000      4K rw---   [ anon ]
0000739b266f0000      4K -----   [ anon ]
0000739b266f1000      4K rw---   [ anon ]
0000739b266f2000      4K -----   [ anon ]
0000739b266f3000      4K rw---   [ anon ]
0000739b266f4000      4K -----   [ anon ]
0000739b266f5000      4K rw---   [ anon ]
0000739b266f6000      4K -----   [ anon ]
0000739b266f7000      4K rw---   [ anon ]
0000739b266f8000      4K -----   [ anon ]
0000739b266f9000      4K rw---   [ anon ]
0000739b266fa000      4K -----   [ anon ]
0000739b266fb000      4K rw---   [ anon ]
0000739b266fc000      4K -----   [ anon ]
0000739b266fd000      4K rw---   [ anon ]
0000739b266fe000      4K -----   [ anon ]
0000739b266ff000      4K rw---   [ anon ]
0000739b26700000      4K -----   [ anon ]
0000739b26701000      4K rw---   [ anon ]
